product_name,product_category,product_description,product_price,product_quantity
Maple Pecan Oatmeal Cookies,Food - Bakery,Soft oatmeal cookies with maple and pecans.,3.99,40
Vintage Button-Down Shirt,Clothing - Shirts,A retro-style button-down shirt with a relaxed fit.,45.99,65
Wireless Game Controller,Gaming,Ergonomic wireless controller for gaming consoles.,39.99,31
Rechargeable Battery Organizer,Home,Tidy storage solution for rechargeable batteries.,17.99,54
Bluetooth Shower Speaker,Audio,Water-resistant Bluetooth speaker for showers.,24.99,40
Vegetable Spring Rolls,Food - Frozen Foods,Crispy spring rolls filled with vegetables,6.49,76
Almond Flour,Food - Baking,"Gluten-free almond flour, perfect for baking.",5.99,13
Tahini,Food - Condiments,Creamy tahini made from ground sesame seeds.,5.49,48
Children's Backpack,Accessories,Stylish and functional backpack for school or trips.,29.99,85
Pecan Pie Filling,Food - Baking Goods,Sweet and nutty filling for delicious homemade pecan pie.,3.99,95
High-Quality Yoga Block,Fitness,Foam yoga block for enhancing poses and stability.,12.99,41
Vegetarian Pizza,Food - Frozen Foods,Frozen pizza loaded with vegetables and cheese.,5.49,71
Gingerbread House Kit,Food - Baking,Everything you need to build a festive gingerbread house.,6.99,61
Foldable Yoga Mat,Fitness,Compact yoga mat that folds for easy storage and transport.,29.99,53
Gaming Mousepad,Gaming,Oversized gaming mousepad with smooth surface.,19.99,53
Crew Neck Sweater,Clothing - Sweaters,"A comfortable crew neck sweater, great for all seasons.",39.99,30
Apple Cinnamon Instant Oatmeal,Food - Cereal,"Quick oatmeal packets infused with apple and cinnamon, perfect for breakfast.",3.49,79
Luminous Night Light,Home,Soft glow night light for children's rooms or bedside.,15.99,30
Window Bird Feeder,Outdoor,Suction cup bird feeder for close-up bird watching.,19.99,80
Smoky BBQ Jackfruit,Food - Grocery,Pulled jackfruit in a smoky BBQ sauce for a tasty vegan dish.,4.99,84
Red Lentil Pasta,Food - Pasta,"Gluten-free pasta made from red lentils, packed with protein.",3.99,27
Almond Flour,Food - Baking,"Gluten-free almond flour, perfect for baking.",5.99,97
Bamboo Utensil Holder,Kitchen,Stylish holder for organizing cooking utensils.,14.99,12
Portable Pet Stroller,Pets,Convenient stroller for pets to enjoy outdoor walks.,89.99,62
Wi-Fi Enabled Smart Light Switch,Smart Home,Control your lights remotely with a smartphone app.,24.99,10
Honey Garlic Chicken,Food - Meat,Tender chicken coated in a sweet and savory honey garlic sauce.,8.49,7
Wireless Gaming Mouse,Gaming,Ergonomic mouse designed for gamers with high DPI.,39.99,71
Classic Watch,Accessories,Timeless analog watch with a leather strap.,99.99,54
Sriracha Hot Chili Sauce,Food - Condiments,Spicy and tangy chili sauce for adding heat to any dish.,2.99,80
Vegetable Broth,Food - Canned Goods,Rich vegetable broth for soups and stews.,2.29,94
Casual Sneakers,Clothing - Footwear,Versatile canvas sneakers suitable for everyday wear with a comfortable fit.,39.99,21
Kids' Gardening Tools Set,Toys,Fun and colorful gardening tools designed for children.,22.99,97
Cookbook,Books,Inspiring cookbook with healthy recipes.,27.99,2
Wild Rice Pilaf,Food - Grains,"A mix of wild rice with herbs and spices, ready to serve.",3.79,29
Almond Flour Biscuits,Food - Bakery,Gluten-free biscuits made with almond flour.,6.49,18
Wireless Earbud Silicone Covers,Accessories,Soft silicone earbud covers for comfort and fit.,9.99,16
Smartphone Holder for Car,Automotive,Secure phone mount for your vehicle's dashboard.,14.99,65
Cranberry Almond Biscotti,Food - Bakery,Crispy and delicious biscotti flavored with cranberry and almond.,4.19,10
Baby Monitor,Baby,Video baby monitor with night vision.,79.99,43
Herbed Mushroom Risotto,Food - Prepared Foods,"Creamy risotto made with mushrooms and herbs, perfect as a side dish or main course.",5.49,1
Durable Hiking Boots,Footwear,Comfortable and rugged boots designed for hiking.,89.99,11
Heated Throw Blanket,Home,Soft blanket that provides warmth with adjustable settings.,49.99,7
Maple Bacon Popcorn,Food - Snacks,Savory popcorn flavored with maple syrup and bacon bits.,3.49,16
Eco-Friendly Yoga Mat,Fitness,Made from biodegradable materials for eco-conscious yogis.,39.99,23
Sliced Strawberries,Food - Fruits,Fresh sliced strawberries for toppings or snacking,4.99,10
Eco-Friendly Yoga Mat,Fitness,Made from biodegradable materials for eco-conscious yogis.,39.99,27
Nutty Granola Clusters,Food - Cereal,Crunchy granola clusters mixed with nuts and honey.,2.49,12
Personal Blender,Kitchen,Compact blender for quick smoothies and shakes.,39.99,96
Pet Travel Carrier,Pets,Comfortable carrier for small pets during travel.,39.99,59
Smart Water Bottle,Fitness,Water bottle that tracks your hydration levels.,39.99,47
Classic White T-Shirt,Clothing - Tops,A timeless wardrobe staple crafted from soft cotton with a perfect fit.,19.99,32
Grass Fed Beef Patties,Food - Meat,Juicy burger patties made with grass-fed beef,9.99,60
Travel Jewelry Organizer,Accessories,Compact storage for your jewelry while traveling.,19.99,21
Honey-Balsamic Vinaigrette,Food - Dressing,A sweet and tangy vinaigrette dressing for salads.,3.39,97
Coconut Cream Pie Mix,Food - Baking,"Creamy, sweet pie mix to make the perfect coconut cream pie.",4.99,65
Asian Stir-Fry Kit,Food - Frozen Meals,Prepped vegetables and sauces for a quick Asian stir-fry meal.,5.49,76
Karaoke Microphone,Music,Wireless microphone for singing and performances.,39.99,69
Spicy Snack Mix,Food - Snacks,A crunchy blend of nuts and pretzels with a spicy kick.,4.99,8
Infrared Space Heater,Home Appliances,Energy-efficient infrared heater for home use.,99.99,5
Electric Wine Opener,Kitchen,Rechargeable electric wine opener for effortless uncorking.,29.99,40
Grapes (red),Food - Produce,"Fresh seedless red grapes, perfect for snacking.",3.49,75
Outdoor Sports Backpack,Outdoor,Durable backpack designed for hiking and outdoor excursions.,49.99,14
Buttermilk Pancakes,Food - Breakfast,Fluffy pancakes with buttermilk flavor.,3.99,22
Non-Stick Grill Pan,Kitchen,Heavy-duty grill pan for indoor grilling.,39.99,16
Sweet Potato Mash,Food - Frozen Foods,"Creamy mashed sweet potatoes, ready to heat and serve.",3.99,69
Electric Wine Opener,Kitchen,Rechargeable electric wine opener for effortless uncorking.,29.99,49
Buffalo Stilton Cheese,Food - Cheese,Spicy blue cheese with a hint of buffalo flavor.,8.99,51
Two-Tier Fruit Basket,Home,Stylish fruit basket for kitchen or dining room.,29.99,45
Fitness Tracker Watch,Wearable Tech,Water-resistant activity tracker and smartwatch features.,79.99,93
Maple Cinnamon Almonds,Food - Nuts,Roasted almonds coated in a sweet maple and cinnamon mixture.,4.29,24
Miso Soup Starter,Food - Soups,Miso paste for making traditional Japanese miso soup.,2.99,97
Sun Protection Clothing,Clothing,UV-blocking clothing for outdoor activities.,44.99,26
Kid's Fruit Snacks,Food - Snacks,Assorted fruit-flavored gummy snacks that kids love.,2.49,90
Cooking Utensil Set,Kitchen,Complete set of cooking utensils made from bamboo.,24.99,71
Vegetable Fried Rice,Food - Frozen Foods,Quick and easy fried rice mixed with vegetables and soy sauce.,4.99,42
Travel Hair Straightener,Beauty,Compact hair straightener for travel.,29.99,75
Marinara Parmesan Baked Ziti,Food - Frozen Meals,Ziti pasta baked with marinara and parmesan cheese,8.49,62
Italian Breadsticks,Food - Bakery,Crispy breadsticks seasoned with herbs and garlic.,2.49,14
Slingback Sandals,Clothing - Footwear,Chic slingback sandals for a relaxed summer vibe.,29.99,35
Athletic Sports Bra,Clothing - Activewear,"Supportive sports bra designed for high-impact workouts, made with moisture-wicking fabric.",24.99,25
Satin Slip Dress,Clothing - Dresses,Luxurious satin slip dress for an elegant evening look.,59.99,67
Fitbit Activity Tracker,Fitness,Advanced wristband that tracks daily activities and sleep.,99.99,8
Blueberry Muffin Mix,Food - Baking,Make delightful blueberry muffins at home with this easy mix.,4.29,100
Lemon Basil Pasta Sauce,Food - Sauces,A tangy sauce that combines lemon zest and basil for a refreshing flavor.,4.99,29
Camping Tarp,Outdoor,Durable tarp for outdoor camping and protection.,32.99,48
Truffle Parmesan Fries,Food - Snacks,"Crispy fries tossed in truffle oil and parmesan, a gourmet snack.",4.99,72
Bicycle Repair Kit,Outdoor,Essential tools for on-the-go bike maintenance.,14.99,70
Ready-to-Eat Chili,Food - Soups,"Spicy chili in a can, ready to eat for a filling meal.",2.99,65
Scented Candle Set,Home,Set of soothing scented candles for relaxation and ambiance.,24.99,77
Coffee Capsule Dispenser,Kitchen,Organize coffee capsules with this stylish dispenser.,24.99,21
Graphic Sweatshirt,Clothing - Tops,A comfortable sweatshirt featuring a bold graphic print.,34.99,10
Teriyaki Chicken Stir-Fry,Food - Frozen Foods,"Frozen stir-fry mix with chicken, veggies, and teriyaki sauce.",6.99,5
Cheddar Cheese Crackers,Food - Snacks,Crunchy crackers topped with real cheddar cheese flavor.,2.29,93
Mushrooms,Food - Produce,"Fresh button mushrooms, great for cooking.",2.99,35
Kids' Outdoor Explorer Kit,Toys,Fun kit for aspiring explorers with binoculars and a compass.,24.99,20
Magnetic Puzzle Board,Toys,Magnetic puzzle assembly board for kids.,24.99,10
Travel Jewelry Case,Accessories,Portable case to organize and protect jewelry on trips.,24.99,71
Car Seat Organizer,Automotive,Storage solutions for keeping your car tidy and organized.,14.99,74
Mini Cordless Vacuum Cleaner,Home Appliances,Handheld vacuum cleaner for quick and easy cleaning.,45.99,89
Almond Butter Cups,Food - Snacks,"Rich chocolate cups filled with almond butter, a delicious treat.",3.29,27
Chocolate Chip Cookie Mix,Food - Baking,Everything you need to bake delicious chocolate chip cookies.,2.49,53
Wall Art,Home,Abstract canvas print to enhance home decor.,45,42
Chocolate Coconut Granola,Food - Cereals,"Crunchy granola with chocolate and coconut, great for breakfast or snacks.",3.79,66
Chili Beans (canned),Food - Canned Goods,"Canned beans with chili sauce, perfect for chili dishes.",1.69,75
Honey Nut Cheerios,Food - Cereal,Classic cereal made with whole grains and honey.,4.29,52
Stainless Steel Water Pitcher,Kitchen,Insulated pitcher to keep beverages cold or hot.,39.99,2
Coconut Flakes,Food - Baking,Unsweetened coconut flakes for baking and topping.,3.29,62
Plaid Flannel Shirt,Clothing - Tops,"Soft flannel shirt with a timeless plaid pattern, perfect for layering.",29.99,92
Pecan Pie Filling,Food - Baking Goods,Sweet and nutty filling for delicious homemade pecan pie.,3.99,87
Tomato Sauce,Food - Canned Goods,Rich and flavorful tomato sauce for pasta or pizza.,2.79,17
Oven-Baked Chicken Tenders,Food - Meat,"Crispy and juicy chicken tenders, perfect for dipping.",6.99,8
Electric Wax Warmer,Home,Wax warmer for creating a soothing atmosphere with fragrances.,22.99,40
Dried Apricots,Food - Dried Fruits,"Sweet, chewy dried apricots, great for snacking or baking.",3.79,42
Folding Table,Outdoor,Portable folding table for outdoor events.,59.99,93
Cilantro Lime Rice,Food - Grains,"Easy-to-prepare rice with cilantro and lime flavors, great as a side.",2.99,8
Tactical Backpack,Outdoor,Durable and versatile backpack for outdoor and travel use.,59.99,89
Over-the-Door Hooks,Home,Convenient hooks that utilize door space for hanging items.,12.99,51
Spicy Vegetable Sushi Rolls,Food - Prepared Foods,Vegan sushi filled with spicy vegetables and avocado.,8.49,28
Satin Slip Dress,Clothing - Dresses,Luxurious satin slip dress for an elegant evening look.,59.99,55
Marinara Parmesan Baked Ziti,Food - Frozen Meals,Ziti pasta baked with marinara and parmesan cheese,8.49,30
Peanut Butter Filled Pretzels,Food - Snacks,Salty pretzels filled with creamy peanut butter.,3.99,15
Wireless Charging Station,Electronics,Charge multiple devices with this sleek charging station.,39.99,60
Halloween Decoration Set,Home,Fun decorations for Halloween to set a spooky atmosphere.,29.99,57
Knitted Infinity Scarf,Clothing - Accessories,A warm knitted scarf to keep you cozy in winter.,29.99,32
Motion Sensor Light,Home,Battery-operated motion sensor light for safety.,19.99,14
Fleece Lined Leggings,Clothing,Comfortable and warm leggings perfect for colder weather.,29.99,95
Quinoa Salad,Food - Prepared Foods,"A nutritious quinoa salad with veggies and dressing, ready-to-eat.",5.99,1
Wild Rice & Quinoa Mix,Food - Grains,"Nutritious blend of wild rice and quinoa, perfect as a side dish.",2.99,73
Wireless Printer,Office,Compact wireless printer for home use.,99.99,31
Baby Safety Corner Guards,Baby,Soft corner protectors to keep babies safe at home.,9.99,10
Vacuum Sealer Machine,Kitchen,Seal food and maintain freshness longer.,89.99,91
Crispy Kale Chips,Food - Snacks,"Baked kale chips seasoned for a healthy, crunchy snack.",2.99,86
Tomato Paste,Food - Canned Goods,"Concentrated tomato paste, great for sauces.",1.29,10
Rice Noodles,Food - Grains,"Thin rice noodles, ideal for stir-fries and soups.",3.49,30
Energy Bites,Food - Snacks,Healthy energy bites made with oats and natural sweeteners.,3.99,61
Energy Bites,Food - Snacks,Healthy energy bites made with oats and natural sweeteners.,3.99,69
Caramel Sauce,Food - Condiments,Rich sauce for desserts and ice cream.,3.49,52
Compact Folding Table,Outdoor,Versatile folding table great for events or outdoor activities.,49.99,86
Classic Pesto Sauce,Food - Sauces,"Fresh basil pesto, perfect for pasta or as a sandwich spread.",4.29,35
Puff Pastry,Food - Bakery,Versatile puff pastry for pies and pastries.,5.49,62
Sporty Cap,Clothing - Accessories,Stylish cap to complete your athletic look.,15.99,51
Sculpting Kit,Art Supplies,Complete sculpting tools for artists.,25.99,29
Herb-Infused Olive Oil,Food - Oils,Premium olive oil infused with herbs for enhanced flavor.,8.99,39
Habanero Hot Sauce,Food - Condiments,Fiery hot sauce made with fresh habaneros and spices.,3.79,85
Miso Soup Mix,Food - Soups,"Instant miso soup mix, just add hot water for a warm meal.",3.29,9
Smartphone Projector,Electronics,DIY projector that magnifies your smartphone screen for movie nights.,29.99,92
Baking Powder,Food - Baking Goods,Essential ingredient for baking fluffy cakes and pastries.,1.79,95
Home Delivery Food Journal,Health,Track your meals and nutrition with this handy food journal.,14.99,52
Marinara Sauce,Food - Condiments,Classic marinara sauce for all pasta dishes.,3.49,40
Ethically-Sourced Coffee Beans,Food - Beverages,Freshly roasted coffee beans with rich flavor.,9.99,82
Wireless Earbud Silicone Covers,Accessories,Soft silicone earbud covers for comfort and fit.,9.99,15
Stick Vacuums Cleaner,Home Appliances,Cordless vacuum cleaner for quick clean-ups.,129.99,45
Handcrafted Wooden Coasters,Home,Set of unique wooden coasters for drinks and decor.,19.99,9
Party Mini Dress,Clothing - Dresses,"Eye-catching mini dress with sequins, ideal for party nights out.",69.99,45
Portable Dog Water Bottle,Pets,Convenient water bottle for pets on the go.,18.99,49
Rice Pilaf Mix,Food - Grains,Quick and easy rice pilaf mix for side dishes.,2.59,48
Chicken Fajita Kit,Food - Prepared Foods,All ingredients included for delicious chicken fajitas.,8.99,71
Veggie Burger Patties,Food - Meat Substitutes,Delicious veggie burger patties for grilling or frying.,5.99,9
Instant Camera,Photography,Retro instant camera for capturing and printing photos instantly.,89.99,51
Toy Building Set,Toys,Creative building set for kids to spark imagination.,29.99,34
Wireless Gaming Headset,Gaming,Comfortable headset with surround sound for immersive gaming.,89.99,49
Cinnamon Ice Cream,Food - Frozen Desserts,"Creamy ice cream with a warm cinnamon flavor, perfect for dessert.",4.99,76
Incense Holder,Home,Ceramic incense holder for a calming atmosphere.,14.99,15
Cranberry Almond Cookies,Food - Bakery,Delicious cookies with cranberries and almonds in every bite.,4.29,24
Garlic and Herb Cream Cheese,Food - Dairy,Spreadable cream cheese with garlic and herbs.,3.49,43
Classic Slim Fit Shirt,Clothing - Shirts,A tailored slim fit shirt for a polished look at work.,49.99,65
Plant Growing Kit,Garden,Complete kit for growing herbs indoors.,22.99,17
Coconut Milk Yogurt,Food - Dairy Alternatives,Creamy yogurt made with coconut milk,2.99,6
Vanilla Almond Granola,Food - Breakfast,"Crunchy granola with almonds and a hint of vanilla, perfect for breakfast.",4.29,16
Frozen Acai Bowl,Food - Frozen Foods,Healthy frozen acai bowl with toppings.,6.49,9
Stylish Wide-Leg Trousers,Clothing - Bottoms,Fashionable wide-leg trousers for a chic silhouette.,59.99,76
Compressed Towel Tablets,Travel,"Compact towels that expand when wet, ideal for travel.",12.99,54
Sea Salt Caramel Brownie,Food - Bakery,Moist brownie topped with sea salt and caramel drizzle.,2.49,10
Wireless Charger,Accessories,Qi-certified wireless charger for fast charging.,24.99,78
Wall-Mounted Spice Rack,Kitchen,Space-saving rack to store and organize spices conveniently.,39.99,34
Cotton Basic Tank,Clothing - Tops,"Essential cotton tank top, perfect for layering.",14.99,12
Electric Razor,Health,Rechargeable electric razor for a smooth shave.,59.99,37
LED Flashing Pet Collar,Pets,Safety collar with flashing lights for pets during night walks.,14.99,63
Wireless Smart Plug,Smart Home,Control home appliances remotely using your smartphone app.,19.99,13
DIY Candle Kit,Crafts,Everything you need to make your own scented candles at home.,34.99,83
Trendy Bomber Jacket,Clothing - Outerwear,A fashion-forward bomber jacket to elevate your casual looks.,69.99,50
Pet Carrier Backpack,Pets,Comfortable and breathable backpack for carrying small pets.,39.99,92
Ceramic Planter Set,Home,Set of decorative ceramic planters for indoor plants.,39.99,95
Folding Backpack Chair,Outdoor,Versatile chair that easily folds up for carrying.,49.99,1
Garden Hose Reel,Garden,Compact hose reel to keep your garden tidy.,49.99,15
Teriyaki Chicken Bowl,Food - Prepared Meals,Ready-to-eat chicken bowl with teriyaki sauce and rice.,6.49,5
Guitar Tuner,Music,Clip-on guitar tuner with LCD display.,19.99,70
Coffee Subscription Service,Food,Monthly subscription for freshly roasted coffee delivered to your door.,29.99,79
Interactive Robot Toy,Toys,Fun robot that engages kids with games and activities.,34.99,23
Sliced Olives,Food - Condiments,"Pitted black olives, perfect for salads and pizzas.",1.99,34
Pumpkin Spice Latte Mix,Food - Beverages,Instant mix for delicious pumpkin spice lattes at home.,3.29,26
Buffalo Stilton Cheese,Food - Cheese,Spicy blue cheese with a hint of buffalo flavor.,8.99,92
Self-Massaging Pillow,Health,Comfortable pillow with built-in massage features.,49.99,25
Wi-Fi Enabled Smart Light Switch,Smart Home,Control your lights remotely with a smartphone app.,24.99,99
Wireless Charger,Accessories,Qi-certified wireless charger for fast charging.,24.99,31
Coconut Rice,Food - Frozen,Fluffy rice cooked with coconut milk for a tropical twist.,2.29,21
Colorful Post-It Notes Set,Office,Variety pack of sticky notes in different colors and sizes.,9.99,36
Digital Photo Frame,Home,Wi-Fi-enabled digital frame for displaying photos.,79.99,52
Sliced Olives,Food - Condiments,"Pitted black olives, perfect for salads and pizzas.",1.99,25
Frozen Pizza,Food - Frozen Foods,Delicious frozen pizza with a variety of toppings.,7.99,82
Pomegranate Juice,Food - Beverages,"Fresh pomegranate juice, rich in antioxidants.",4.49,14
Blackberry Compote,Food - Condiments,"Sweet blackberry compote, perfect for topping desserts.",5.29,80
Smart LED Light Strip,Home,"Customizable RGB LED light strip, perfect for mood lighting.",29.99,85
Emergency Preparedness Kit,Safety,Complete kit for emergency situations including food and water.,99.99,19
Crispy Potato Tots,Food - Frozen Foods,"Golden brown potato tots, crispy on the outside and fluffy inside.",3.69,33
Electric Knife,Kitchen,Cordless electric knife for effortless slicing.,39.99,61
Classic Leather Wallet,Clothing - Accessories,A sleek leather wallet that combines style and functionality.,34.99,86
Juice Extractor,Kitchen,Efficient juicer for fresh fruit and vegetable juices.,99.99,45
Fitness Smartwatch,Wearable Tech,Multifunctional smartwatch for fitness tracking.,99.99,66
Peach Mango Smoothie Mix,Food - Beverages,A blend of peach and mango for a tropical smoothie.,5.99,13
Fruit Medley Juice,Food - Beverages,Refreshing juice blend made with various fresh fruits.,3.49,3
Granola Bars,Food - Snacks,"Crispy and chewy granola bars, perfect for on-the-go.",4.99,49
Granola Cereal,Food - Breakfast,"Crunchy granola with oats, nuts, and honey.",4.49,16
Recipe Book Stand,Kitchen,Stylish stand to hold your recipes while cooking.,22.99,15
Spiralizer,Kitchen,Vegetable spiralizer for healthy meals.,22.99,16
Trail Mix (Deluxe),Food - Snacks,"A delightful mix of nuts, fruit, and chocolate.",4.59,42
Self-Adhesive Wallpaper,Home,Peel and stick wallpaper for easy home decor changes.,34.99,90
Instant Pot,Kitchen,7-in-1 multi-cooker for versatile cooking.,89.99,50
Legging Pants,Clothing - Activewear,Comfortable and stretchy legging pants perfect for workouts or daily wear.,34.99,96
Chia Seed Pudding,Food - Snacks,"Nutritious chia seed pudding in vanilla flavor, ready to eat.",3.99,86
Kids Tablet,Electronics,Durable tablet designed for kids with parental controls.,129.99,43
Portable Air Conditioner,Home Appliances,Compact air conditioner for personal cooling.,299.99,48
Homestyle Chicken Noodle Soup,Food - Canned Goods,Classic chicken noodle soup with tender chicken and vegetables.,2.99,25
Bamboo Cutting Board Set,Kitchen,Eco-friendly bamboo cutting boards in various sizes.,34.99,98
Chipotle Black Bean Burger,Food - Meats,"Spicy black bean burgers, great on the grill.",4.99,98
Ceramic Planter Set,Home,Set of decorative ceramic planters for indoor plants.,39.99,63
Savory Breakfast Sausage,Food - Meats,"Frozen sausage patties made with herbs and spices, perfect for breakfast sandwiches.",6.49,22
Kids' Learning Tablet,Electronics,Educational tablet designed for preschool-age children.,129.99,21
Spice Rack,Kitchen,Rotating spice rack with 20 spice jars.,39.99,6
Tomato Basil Soup,Food - Canned Goods,"A classic soup combining tomatoes and basil, great with grilled cheese sandwiches.",3.49,23
Peanut Butter Granola,Food - Breakfast,Crunchy granola full of peanut butter flavor and oats.,4.99,30
Gaming Headset,Gaming,Comfortable gaming headset with surround sound.,69.99,90
Pet Carrier Backpack,Pets,Comfortable and breathable backpack for carrying small pets.,39.99,38
Asian Stir-Fry Kit,Food - Frozen Meals,Prepped vegetables and sauces for a quick Asian stir-fry meal.,5.49,70
Ski Goggles,Sports,Anti-fog ski goggles for winter sports.,49.99,36
Sourdough Bread,Food - Bakery,Artisan-made sourdough bread with a tangy flavor.,4.99,36
Kids Tablet,Electronics,Durable tablet designed for kids with parental controls.,129.99,39
Spicy Avocado Salsa,Food - Condiments,"A zesty salsa made from ripe avocados, tomatoes, onions, and jalapeños, great for dipping or topping.",4.49,88
Fishing Rod,Outdoor,Lightweight fishing rod suitable for beginners.,49.99,61
Water Bottle with Built-in Fruit Infuser,Fitness,Stay hydrated with refreshing flavored water.,18.99,30
Pistachios,Food - Nuts,"Roasted pistachios, a healthy and tasty snack.",6.99,20
Sports Windbreaker,Clothing - Outerwear,Lightweight windbreaker for outdoor activities.,44.99,60
Maple Pecan Granola,Food - Breakfast,"Crunchy granola with maple syrup and pecans, great for breakfast or snacking.",4.49,24
Set of Decorative Storage Bins,Home,Colorful bins to keep your space organized.,34.99,42
Vegetable and Cheese Quesadillas,Food - Frozen,Flour tortilla filled with cheese and a medley of vegetables.,6.99,68
Pressure Washer Accessories Kit,Home Improvement,Essential attachments for pressure washing.,39.99,40
Sea Salt Caramel Brownie,Food - Bakery,Moist brownie topped with sea salt and caramel drizzle.,2.49,53
Spicy Snack Mix,Food - Snacks,A crunchy blend of nuts and pretzels with a spicy kick.,4.99,74
Zucchini,Food - Produce,"Fresh zucchini, versatile for grilling or sautéing.",0.79,59
Caraway Rye Bread,Food - Bakery,Artisan bread with caraway seeds for added flavor.,4.79,37
Dog Frisbee Toy,Pets,Durable and soft frisbee designed for dogs to play with.,10.99,92
Wall Calendar,Home,Beautiful wall calendar for organizing your schedule.,17.99,96
Fried Rice,Food - Frozen Foods,"Pre-cooked vegetable fried rice, just heat and serve.",4.29,6
Hiking Boots,Footwear,Comfortable hiking boots for outdoor adventures.,79.99,87
Potato Wedge Seasoning,Food - Condiments,Seasoning mix for making crispy and flavorful potato wedges.,2.49,54
Free-Range Eggs,Food - Dairy,Fresh eggs from free-range chickens.,3.99,18
Mango Chia Pudding,Food - Snacks,Healthy chia pudding made with mango and coconut milk.,4.49,13
Baby Monitor,Baby,Video baby monitor with night vision.,79.99,28
Dill Pickle Chips,Food - Condiments,Crispy dill pickles that are perfect for snacking or sandwiches.,2.29,64
Electric Stool Heater,Home,Heated stool cover for extra comfort during winter.,29.99,41
Mini Projector,Electronics,Portable projector with 1080p resolution for movies.,169.99,57
Oven-Baked Chicken Tenders,Food - Meat,"Crispy and juicy chicken tenders, perfect for dipping.",6.99,15
Nutty Granola Clusters,Food - Cereal,Crunchy granola clusters mixed with nuts and honey.,2.49,9
Sweet Potato Tots,Food - Frozen Foods,"Crispy sweet potato bites, delicious as a side or snack.",4.29,68
Rice Cakes,Food - Snacks,"Light and crispy rice cakes, a perfect low-calorie snack.",2.29,76
Almond Flour Pizza Crust,Food - Frozen Foods,"Low-carb pizza crust made from almond flour, gluten-free.",7.99,11
Digital Bullet Journal,Apps,Stylish digital journaling app for notes and organizing tasks.,24.99,49
Natural Fruit Snacks,Food - Snacks,"Healthy fruit snacks, made with real fruit.",3.99,45
Fitness Activity Journal,Fitness,Journal to record workouts and nutrition.,14.99,11
Kitchen Scale,Kitchen,Digital scale for precise cooking measurements.,19.99,5
Electric Food Slicer,Kitchen,"Versatile slicer for meats, cheeses, and vegetables.",99.99,84
Portable Blender,Kitchen,Battery-operated blender for smoothies on the go.,30,51
Weighted Jump Rope with Counter,Fitness,Jump rope that counts your jumps for tracking workouts.,14.99,63
Savory Mushroom Risotto,Food - Gourmet Rice,Creamy risotto infused with wild mushrooms.,6.49,61
Hummus Trio Pack,Food - Snacks,"A variety pack of classic, roasted red pepper, and garlic hummus.",5.49,90
Vegetarian Sausage Links,Food - Meat Substitutes,Plant-based sausage links with spices and herbs.,5.89,62
Asian Noodle Salad Kit,Food - Salads,A pre-packaged salad kit with noodles and Asian-style dressing.,4.99,36
Kids' Art Easel,Toys,Double-sided art easel for painting and drawing.,58.99,9
Vegetable Chips,Food - Snacks,Crispy and crunchy snack made from assorted vegetables.,3.99,52
Organic Cucumber,Food - Vegetables,Fresh organic cucumber perfect for salads or snacking.,1.29,91
Infrared Space Heater,Home Appliances,Energy-efficient infrared heater for home use.,99.99,26
Dried Apricots,Food - Dried Fruits,"Sweet, chewy dried apricots, great for snacking or baking.",3.79,52
Honey-Balsamic Vinaigrette,Food - Dressing,A sweet and tangy vinaigrette dressing for salads.,3.39,99
Herbed Chicken Breast,Food - Meat,"Marinated chicken breast seasoned with herbs, ready for grilling.",7.99,95
Canvas Wall Art,Home,Stylish wall art to enhance home decor.,39.99,22
Adjustable Garden Rake,Garden,Heavy-duty rake with adjustable width for different gardening needs.,22.99,45
Handmade Wooden Utensil Set,Kitchen,Unique handcrafted utensils for cooking and serving.,24.99,65
Pet Caress Brush,Pets,Gentle brush for removing loose fur from pets.,12.99,15
Pesto Pasta Salad,Food - Prepared Foods,Cold pasta salad tossed with pesto and fresh vegetables.,4.99,96
Beef Chili,Food - Canned Goods,"Hearty beef chili, ready to heat and eat.",4.5,11
Air Purifier,Home,HEPA air purifier for clean indoor air.,129.99,39
Chocolate Hazelnut Spread,Food - Spreads,"A creamy spread made with chocolate and hazelnuts, perfect for toast.",5.99,95
Almond Joy Bars,Food - Confectionery,Chocolate-covered candy bars with coconut and almonds.,1.29,83
Mango Sticky Rice Dessert,Food - Frozen Desserts,Sweetened sticky rice served with fresh mango and coconut sauce.,4.5,43
Canned Coconut Milk,Food - Canned Goods,"Rich coconut milk, great for cooking and baking.",1.89,44
Vegan Mayonnaise,Food - Condiments,Plant-based mayonnaise for a creamy taste.,4.49,3
Weighted Blanket for Adults,Health,A calming blanket that provides gentle pressure for relaxation.,59.99,9
